44,Self-emp-not-inc,19,Assoc-acdm,16,Never-married,Transport-moving,Husband,Amer-Indian-Eskimo,Female,18,71,29,giyakrsozdodqiampslsivel, <=50K
47,Federal-gov,0,Preschool,10,Married-spouse-absent,Armed-Forces,Husband,Other,Female,97,96,98,wdiaomfxpgnqlvnkkzrfroah, <=50K
64,Local-gov,100,5th-6th,6,Never-married,Priv-house-serv,Not-in-family,Other,Male,42,23,57,nzshegwockexfgkphyawknti, <=50K
67,?,88,Prof-school,3,Divorced,?,Unmarried,Asian-Pac-Islander,Female,1,90,81,imeovvepojjagxmnbsewyryv, <=50K
67,Federal-gov,0,Some-college,16,Married-spouse-absent,Other-service,Wife,Black,Male,49,50,9,rawivepvbngvsltfdiwoyexd, <=50K
9,Local-gov,61,9th,13,Widowed,Exec-managerial,Not-in-family,Other,Female,87,53,7,pzgynxpktnhtljuhswbpuchk, <=50K
83,Private,23,9th,1,Never-married,?,Wife,Other,Female,59,45,84,nzkaywggeuxgmpwnarfxrdsy, <=50K
21,Self-emp-not-inc,84,12th,4,Divorced,Transport-moving,Wife,Amer-Indian-Eskimo,Male,56,72,61,lousfzdhucynfwlwbbuqxkjd, >50K
36,Local-gov,4,9th,10,Married-AF-spouse,Adm-clerical,Unmarried,Other,Female,44,77,54,ahwwjavfuslapygveubwpcsk, >50K
87,Never-worked,70,5th-6th,10,Never-married,?,Not-in-family,Amer-Indian-Eskimo,Male,48,84,64,qemqlcnvuqdlpwqsmacgmlku, >50K
70,Self-emp-inc,73,HS-grad,2,Never-married,Armed-Forces,Own-child,Other,Male,46,8,39,dkcgjrehiovrjdzguqxxddgu, >50K
88,Private,100,Bachelors,15,Separated,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,13,26,39,gybcqxrkzruikbjjxygmvdep, >50K
88,Self-emp-not-inc,53,Bachelors,15,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Male,32,56,39,pskmwdpltuhfihickxmkslap, <=50K
12,Private,79,Some-college,5,Divorced,Sales,Wife,Black,Female,77,1,0,xvnpimgthkgzrpbiopcspfgm, <=50K
58,Never-worked,59,Assoc-acdm,5,Divorced,Craft-repair,Wife,Other,Male,46,32,74,smuiqdyphrpfphhyobhdwmwr, >50K
65,Self-emp-inc,4,Masters,4,Never-married,Other-service,Wife,Amer-Indian-Eskimo,Male,3,45,81,pndwkcjmedoarveikqtdhzng, <=50K
39,State-gov,94,9th,4,Never-married,Other-service,Not-in-family,Black,Male,48,74,36,funqifubeuqarnydgfpytvyw, <=50K
87,Never-worked,56,Assoc-acdm,1,Married-AF-spouse,Transport-moving,Husband,White,Female,99,29,34,nzwnvbdcarmrojrqeltnqklu, <=50K
