41;?;148073.0;Bachelors;13;Married-civ-spouse;?;Husband;White;Male;7298;0;12;United-States;>50K
20;Private;215328.0;Some-college;10;Never-married;Adm-clerical;Not-in-family;Black;Male;0;2051;30;United-States;<=50K
36;State-gov;190490.0;Masters;14;Never-married;Prof-specialty;Own-child;White;Female;0;0;40;United-States;<=50K
30;Private;473073.0;Bachelors;13;Married-civ-spouse;Other-service;Husband;White;Male;0;0;30;United-States;<=50K
30;Self-emp-not-inc;344410.0;Bachelors;13;Separated;Prof-specialty;Not-in-family;White;Male;0;0;25;United-States;<=50K
37;Private;262960.0;10th;6;Widowed;Machine-op-inspct;Not-in-family;White;Female;0;1602;48;United-States;<=50K
50;Private;143610.0;Prof-school;15;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
18;Private;181857.0;11th;7;Never-married;Other-service;Not-in-family;White;Male;0;0;25;United-States;<=50K
22;Local-gov;415478.0;Assoc-acdm;12;Never-married;Protective-serv;Not-in-family;White;Male;0;0;40;United-States;<=50K
31;Self-emp-not-inc;128855.0;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;50;United-States;>50K
56;Self-emp-not-inc;152762.0;5th-6th;3;Widowed;Other-service;Unmarried;White;Female;0;0;60;United-States;<=50K
71;Private;123062.0;HS-grad;9;Married-civ-spouse;Sales;Husband;White;Male;0;0;20;United-States;<=50K
55;Private;253897.0;5th-6th;3;Married-civ-spouse;Machine-op-inspct;Wife;White;Female;0;0;45;United-States;<=50K
36;Private;215170.0;Bachelors;13;Never-married;Sales;Not-in-family;White;Female;0;1590;45;United-States;<=50K
28;Private;131431.0;Some-college;10;Never-married;Other-service;Not-in-family;White;Male;0;0;40;Mexico;<=50K
46;Private;251591.0;Some-college;10;Married-spouse-absent;Craft-repair;Not-in-family;Asian-Pac-Islander;Male;0;0;37;Philippines;<=50K
51;Local-gov;226503.0;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;38;Canada;>50K
58;Local-gov;305502.0;Some-college;10;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;58;United-States;>50K
23;State-gov;219176.0;HS-grad;9;Never-married;Adm-clerical;Not-in-family;White;Female;4508;0;45;United-States;<=50K
41;Local-gov;152324.0;Prof-school;15;Never-married;Prof-specialty;Not-in-family;White;Female;0;0;40;United-States;<=50K
50;Private;35118.0;Masters;14;Married-civ-spouse;Exec-managerial;Husband;White;Male;99999;0;50;United-States;>50K
44;Private;213258.0;12th;8;Never-married;Transport-moving;Not-in-family;White;Male;0;0;40;United-States;<=50K
37;Local-gov;152079.0;Some-college;10;Married-civ-spouse;Other-service;Husband;White;Male;0;2231;40;United-States;<=50K
37;Private;62641.0;HS-grad;9;Married-civ-spouse;Sales;Husband;White;Male;8614;0;44;United-States;>50K
84;Self-emp-not-inc;120666.0;Bachelors;13;Married-civ-spouse;Farming-fishing;Husband;White;Male;0;0;20;United-States;<=50K
32;Private;166941.0;HS-grad;9;Divorced;Machine-op-inspct;Unmarried;Black;Female;0;2051;40;United-States;<=50K
62;Private;191491.0;HS-grad;9;Widowed;Handlers-cleaners;Unmarried;Black;Female;0;0;25;United-States;<=50K
26;Private;130880.0;Some-college;10;Never-married;Adm-clerical;Own-child;White;Female;0;0;40;United-States;<=50K
53;Federal-gov;79502.0;Bachelors;13;Divorced;Prof-specialty;Not-in-family;White;Female;0;0;57;United-States;<=50K
22;Private;230690.0;HS-grad;9;Never-married;Adm-clerical;Not-in-family;White;Female;0;0;20;United-States;<=50K
44;Self-emp-inc;47403.0;Bachelors;13;Married-civ-spouse;Exec-managerial;Wife;White;Female;0;0;40;United-States;<=50K
20;State-gov;149611.0;HS-grad;9;Never-married;Adm-clerical;Not-in-family;White;Male;0;0;25;United-States;<=50K
25;Private;325947.0;10th;6;Never-married;Craft-repair;Own-child;White;Female;0;0;40;United-States;<=50K
58;Private;292415.0;HS-grad;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;40;United-States;>50K
41;Private;273544.0;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;7688;0;45;Canada;>50K
48;Private;307803.0;Masters;14;Never-married;Exec-managerial;Other-relative;White;Female;0;0;50;United-States;<=50K
46;?;65270.0;HS-grad;9;Married-civ-spouse;?;Husband;White;Male;0;0;40;United-States;<=50K
19;Private;483373.0;11th;7;Never-married;Adm-clerical;Own-child;White;Male;0;0;30;United-States;<=50K
31;Local-gov;293874.0;Some-college;10;Separated;Exec-managerial;Unmarried;White;Female;0;0;45;United-States;<=50K
33;Self-emp-inc;355959.0;Bachelors;13;Married-civ-spouse;Sales;Husband;White;Male;8614;0;40;United-States;>50K
48;Local-gov;159611.0;Bachelors;13;Divorced;Prof-specialty;Own-child;White;Male;3325;0;38;United-States;<=50K
