69,?,516178.0,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,<=50K
50,?,68086.0,10th,6,Married-civ-spouse,?,Husband,Black,Male,0,0,60,United-States,<=50K
32,Self-emp-not-inc,190490.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
28,Private,31347.0,Assoc-acdm,12,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
29,Private,270789.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,42097.0,10th,6,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
43,Federal-gov,143610.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
17,?,181857.0,10th,6,Divorced,?,Own-child,White,Female,0,0,8,United-States,<=50K
52,Private,194615.0,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,128855.0,HS-grad,9,Separated,Adm-clerical,Other-relative,White,Female,4101,0,40,United-States,<=50K
30,Private,300004.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,>50K
46,Private,196683.0,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Private,253897.0,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,60,United-States,>50K
50,Self-emp-not-inc,215170.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
31,Local-gov,131431.0,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,Mexico,<=50K
22,Private,177970.0,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,45,Philippines,<=50K
50,Self-emp-not-inc,226503.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,64,Canada,<=50K
46,Private,231881.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
32,Private,145555.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,42,United-States,<=50K
39,Private,152324.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
63,Self-emp-not-inc,255981.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,20,United-States,<=50K
24,Private,66016.0,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,2174,0,40,United-States,<=50K
26,?,152079.0,10th,6,Never-married,?,Own-child,White,Male,0,0,12,United-States,<=50K
51,Private,283504.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
34,Private,194287.0,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
41,Private,93320.0,HS-grad,9,Never-married,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States,<=50K
27,?,191491.0,HS-grad,9,Divorced,?,Unmarried,Black,Female,6849,0,24,United-States,<=50K
47,Self-emp-inc,278122.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,United-States,>50K
43,Self-emp-not-inc,226744.0,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
75,?,157069.0,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,8,United-States,<=50K
46,Private,268266.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
38,State-gov,149611.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,<=50K
19,Private,178705.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,>50K
20,Self-emp-not-inc,145173.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,1719,45,United-States,<=50K
51,Local-gov,126302.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Canada,>50K
60,Self-emp-inc,160561.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,286133.0,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,188889.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,50,United-States,>50K
39,Private,220253.0,HS-grad,9,Separated,Farming-fishing,Unmarried,White,Male,0,0,40,United-States,>50K
